,cycle_id,ekor,total_seed,total_seed_type,sr%
624,24690,3,253.773,1,0.0011821588585074062
625,24690,0,253.773,1,0.0
626,24690,1,253.773,1,0.00039405295283580205
627,24690,6,253.773,1,0.0023643177170148124
628,24690,6,253.773,1,0.0023643177170148124
629,24690,6,253.773,1,0.0023643177170148124
630,24690,8,253.773,1,0.0031524236226864164
631,24690,7,253.773,1,0.0027583706698506147
632,24690,33,253.773,1,0.01300374744358147
633,24690,0,253.773,1,0.0
634,19065,4,315.0,0,0.0012698412698412698
635,19065,0,315.0,0,0.0
636,19065,8,315.0,0,0.0025396825396825397
637,19065,0,315.0,0,0.0
638,19065,19,315.0,0,0.006031746031746031
639,19065,0,315.0,0,0.0
640,19252,3,300.0,0,0.001
641,19252,0,300.0,0,0.0
642,19252,7,300.0,0,0.002333333333333333
643,19252,0,300.0,0,0.0
644,25577,0,37.5,0,0.0
645,18828,1,181.594,gross,0.0005506789871912068
646,24686,1,97.605,1,0.0010245376773730854
647,24686,2,97.605,1,0.002049075354746171
648,24686,5,97.605,1,0.005122688386865427
649,24686,0,97.605,1,0.0
650,24686,10,97.605,1,0.010245376773730854
651,18744,10,458.48,1,0.002181120223346711
652,19872,0,180.0,1,0.0
653,19872,0,180.0,1,0.0
654,19872,0,180.0,1,0.0
655,19872,0,180.0,1,0.0
656,19872,0,180.0,1,0.0
657,19872,0,180.0,1,0.0
658,19872,0,180.0,1,0.0
659,19872,0,180.0,1,0.0
660,19872,16,180.0,1,0.008888888888888889
661,19872,0,180.0,1,0.0
662,19872,0,180.0,1,0.0
663,24155,1,100.0,0,0.001
664,24155,3,100.0,0,0.003
665,24155,3,100.0,0,0.003
666,24155,23,100.0,0,0.023
667,19518,6,200.0,0,0.003
668,19518,0,200.0,0,0.0
669,19518,13,200.0,0,0.0065
670,19518,0,200.0,0,0.0
671,19518,52,200.0,0,0.026
672,19518,0,200.0,0,0.0
673,19518,0,200.0,0,0.0
674,19518,0,200.0,0,0.0
675,19518,0,200.0,0,0.0
676,18130,2,116.312,1,0.001719513033908797
677,18130,0,116.312,1,0.0
678,24570,14,145.336,0,0.009632850773380304
679,27328,0,82.0,0,0.0
680,27328,0,82.0,0,0.0
681,28718,0,85.0,0,0.0
682,28718,0,85.0,0,0.0
683,28718,0,85.0,0,0.0
684,28718,2,85.0,0,0.0023529411764705885
685,27326,3,100.0,0,0.003
686,27326,2,100.0,0,0.002
687,27326,1,100.0,0,0.001
688,27326,4,100.0,0,0.004
689,27326,17,100.0,0,0.017
690,22325,0,30.0,1,0.0
691,22325,0,30.0,1,0.0
692,18128,2,123.816,1,0.0016153001227628093
693,18128,0,123.816,1,0.0
694,22035,0,150.0,gross,0.0
695,22035,3,150.0,gross,0.002
696,24569,7,129.624,0,0.005400234524470777
697,28791,1,50.0,0,0.002
698,15803,5,85.0,1,0.0058823529411764705
699,15803,1,85.0,1,0.0011764705882352942
700,15803,0,85.0,1,0.0
701,20837,0,225.0,0,0.0
702,20837,1,225.0,0,0.0004444444444444444
703,20837,2,225.0,0,0.0008888888888888888
704,15977,4,220.0,0,0.0018181818181818182
705,15977,9,220.0,0,0.004090909090909091
706,15977,110,220.0,0,0.05
707,28922,1,362.738,1,0.00027568107008364164
708,18238,1,80.0,0,0.00125
709,19068,4,281.6,1,0.0014204545454545455
710,19068,0,281.6,1,0.0
711,19068,7,281.6,1,0.0024857954545454545
712,19068,0,281.6,1,0.0
713,19068,10,281.6,1,0.0035511363636363635
714,19068,0,281.6,1,0.0
715,24261,0,154.08,0,0.0
716,19873,5,180.0,1,0.002777777777777778
717,19873,0,180.0,1,0.0
718,19873,0,180.0,1,0.0
719,19873,0,180.0,1,0.0
720,19873,0,180.0,1,0.0
721,19873,0,180.0,1,0.0
722,19873,0,180.0,1,0.0
723,18513,0,100.0,0,0.0
724,14440,1,114.0,1,0.0008771929824561403
725,14440,0,114.0,1,0.0
726,14440,0,114.0,1,0.0
727,14440,0,114.0,1,0.0
728,16298,1,70.0,0,0.0014285714285714286
729,25586,0,32.0,0,0.0
730,18326,1,100.0,0,0.001
731,19063,16,281.6,1,0.005681818181818182
732,19063,0,281.6,1,0.0
733,19670,2,118.0,1,0.001694915254237288
734,19670,0,118.0,1,0.0
735,19670,12,118.0,1,0.010169491525423728
736,19670,0,118.0,1,0.0
737,19670,0,118.0,1,0.0
738,19670,0,118.0,1,0.0
739,19670,0,118.0,1,0.0
740,16137,0,25.0,gross,0.0
741,29212,4,118.18,0,0.003384667456422407
742,29212,12,118.18,0,0.01015400236926722
743,22182,0,44.8,gross,0.0
744,22182,2,44.8,gross,0.004464285714285714
745,15936,3,100.0,0,0.003
746,24893,4,440.0,1,0.0009090909090909091
747,27019,2,270.0,0,0.0007407407407407407
748,18616,6,244.2,1,0.002457002457002457
749,18616,0,244.2,1,0.0
750,18616,11,244.2,1,0.0045045045045045045
751,18616,0,244.2,1,0.0
752,18616,12,244.2,1,0.004914004914004914
753,18616,0,244.2,1,0.0
754,22124,2,120.0,0,0.0016666666666666668
755,22124,5,120.0,0,0.004166666666666667
756,22124,7,120.0,0,0.005833333333333334
757,22124,10,120.0,0,0.008333333333333333
758,22124,8,120.0,0,0.006666666666666667
759,22124,7,120.0,0,0.005833333333333334
760,18748,8,383.358,1,0.0020868222392646037
761,29619,0,70.0,0,0.0
762,29619,4,70.0,0,0.005714285714285714
763,25144,18,525.299,1,0.0034266198869596174
764,25144,37,525.299,1,0.0070436075454169906
765,25144,67,525.299,1,0.012754640690349688
766,18736,9,500.96,1,0.001796550622804216
767,18627,1,175.0,0,0.0005714285714285715
768,29451,0,150.0,0,0.0
769,29451,1,150.0,0,0.0006666666666666666
770,29451,2,150.0,0,0.0013333333333333333
771,16573,3,150.0,0,0.002
772,18405,5,135.0,0,0.003703703703703704
773,20617,1,240.0,0,0.0004166666666666667
774,27560,1,100.0,0,0.001
775,27560,1,100.0,0,0.001
776,27560,1,100.0,0,0.001
777,27560,1,100.0,0,0.001
778,15982,24,180.0,0,0.013333333333333334
779,15982,1,180.0,0,0.0005555555555555556
780,18293,0,20.0,1,0.0
781,18465,25,180.0,0,0.013888888888888888
782,17043,14,150.0,0,0.009333333333333332
783,18514,0,20.0,0,0.0
784,18609,5,290.4,1,0.0017217630853994489
785,18609,0,290.4,1,0.0
786,18609,9,290.4,1,0.0030991735537190084
787,18609,0,290.4,1,0.0
788,18609,10,290.4,1,0.0034435261707988977
789,18609,2,290.4,1,0.0006887052341597796
790,18028,2,125.0,0,0.0015999999999999999
791,18028,6,125.0,0,0.0048000000000000004
792,18028,0,125.0,0,0.0
793,18028,9,125.0,0,0.0072
794,18028,0,125.0,0,0.0
795,18028,20,125.0,0,0.016
796,26056,5,107.641,0,0.004645070187010526
797,26056,2,107.641,0,0.0018580280748042102
798,26056,18,107.641,0,0.016722252673237892
799,26056,5,107.641,0,0.004645070187010526
800,26056,2,107.641,0,0.0018580280748042102
801,26056,18,107.641,0,0.016722252673237892
802,23025,17,200.0,0,0.0085
803,27147,0,140.0,1,0.0
804,27147,7,140.0,1,0.005
805,24689,4,253.773,1,0.0015762118113432082
806,24689,5,253.773,1,0.0019702647641790102
807,24689,5,253.773,1,0.0019702647641790102
808,24689,10,253.773,1,0.0039405295283580204
809,24689,76,253.773,1,0.029948024415520958
810,24689,0,253.773,1,0.0
811,17112,0,200.0,gross,0.0
812,23736,21,342.188,1,0.006136977334097046
813,23736,1,342.188,1,0.0002922370159093831
814,17468,0,125.0,0,0.0
815,23740,18,289.8,1,0.006211180124223603
816,23740,0,289.8,1,0.0
817,23740,43,289.8,1,0.014837819185645272
818,23740,1,289.8,1,0.0003450655624568668
819,24446,1,40.0,1,0.0025
820,28881,0,75.0,0,0.0
821,24257,0,154.08,0,0.0
822,20619,0,240.0,0,0.0
823,25145,29,522.153,1,0.005553927680201014
824,25145,1,522.153,1,0.00019151474759313838
825,25145,2,522.153,1,0.00038302949518627676
826,25145,0,522.153,1,0.0
827,25145,1,522.153,1,0.00019151474759313838
828,25145,14,522.153,1,0.002681206466303938
829,22329,0,50.0,1,0.0
830,22329,2,50.0,1,0.004
831,19669,2,118.0,1,0.001694915254237288
832,19669,0,118.0,1,0.0
833,19669,2,118.0,1,0.001694915254237288
834,19669,15,118.0,1,0.012711864406779662
835,19669,1,118.0,1,0.000847457627118644
836,19669,0,118.0,1,0.0
837,19669,0,118.0,1,0.0
838,17686,4,150.0,0,0.0026666666666666666
839,17686,0,150.0,0,0.0
840,17686,7,150.0,0,0.004666666666666666
841,17686,32,150.0,0,0.021333333333333333
842,18737,11,492.936,1,0.002231527013648831
843,28605,0,80.0,0,0.0
844,21892,8,110.0,0,0.007272727272727273
845,14580,2,127.0,1,0.0015748031496062992
846,14580,0,127.0,1,0.0
847,14580,1,127.0,1,0.0007874015748031496
848,14578,3,447.0,1,0.0006711409395973155
849,14578,2,447.0,1,0.0004474272930648769
850,23734,17,277.75,1,0.00612061206120612
851,23734,0,277.75,1,0.0
852,23734,32,277.75,1,0.01152115211521152
853,23734,1,277.75,1,0.00036003600360036
854,29873,12,125.0,0,0.009600000000000001
855,19062,4,281.6,1,0.0014204545454545455
856,19062,0,281.6,1,0.0
857,19062,8,281.6,1,0.002840909090909091
858,19062,0,281.6,1,0.0
859,19062,12,281.6,1,0.004261363636363637
860,19062,0,281.6,1,0.0
861,25649,1,42.5,0,0.0023529411764705885
862,16138,0,10.0,gross,0.0
863,17475,3,150.0,gross,0.002
864,24204,1,296.348,0,0.00033744111652516637
865,24204,8,296.348,0,0.002699528932201331
866,18611,4,230.49,1,0.0017354332075144258
867,18611,0,230.49,1,0.0
868,18611,9,230.49,1,0.0039047247169074584
869,18611,0,230.49,1,0.0
870,18611,10,230.49,1,0.004338583018786064
871,18611,0,230.49,1,0.0
872,18611,0,230.49,1,0.0
873,18614,7,290.4,1,0.0024104683195592287
874,18614,0,290.4,1,0.0
875,18614,10,290.4,1,0.0034435261707988977
876,18614,0,290.4,1,0.0
877,18614,12,290.4,1,0.004132231404958678
878,18614,1,290.4,1,0.0003443526170798898
879,18614,0,290.4,1,0.0
880,18614,0,290.4,1,0.0
881,18543,0,27.8,gross,0.0
882,18742,7,451.95,1,0.0015488438986613565
883,18745,9,458.48,1,0.00196300820101204
884,17626,4,84.192,1,0.004751045229950589
885,17626,0,84.192,1,0.0
886,24688,4,253.773,1,0.0015762118113432082
887,24688,7,253.773,1,0.0027583706698506147
888,24688,5,253.773,1,0.0019702647641790102
889,24688,6,253.773,1,0.0023643177170148124
890,24688,70,253.773,1,0.027583706698506145
891,24688,0,253.773,1,0.0
892,15809,2,75.0,0,0.0026666666666666666
893,18027,0,80.0,0,0.0
894,18027,6,80.0,0,0.0075
895,29264,0,50.0,0,0.0
896,24695,4,232.083,1,0.0017235213264220127
897,24695,6,232.083,1,0.0025852819896330192
898,24695,0,232.083,1,0.0
899,24695,12,232.083,1,0.0051705639792660385
900,24695,27,232.083,1,0.011633768953348587
901,24695,0,232.083,1,0.0
902,18834,1,190.0,0,0.0005263157894736842
903,18834,0,190.0,0,0.0
904,18834,1,190.0,0,0.0005263157894736842
905,18834,1,190.0,0,0.0005263157894736842
906,18834,0,190.0,0,0.0
907,27149,0,70.0,1,0.0
908,27149,3,70.0,1,0.004285714285714286
909,25441,1,51.0,0,0.00196078431372549
910,25582,0,25.5,0,0.0
911,24692,4,247.266,1,0.0016176910695364507
912,24692,6,247.266,1,0.002426536604304676
913,24692,6,247.266,1,0.002426536604304676
914,24692,6,247.266,1,0.002426536604304676
915,24692,52,247.266,1,0.02102998390397386
916,24692,0,247.266,1,0.0
917,20614,3,240.0,0,0.00125
918,20614,10,240.0,0,0.004166666666666667
