,cycle_id,sampled_at,weight,sum_sample_g,sum_sample_kg,abw,abw_round
4134,25360.0,2023-12-01,50.96,78.49293563579278,7.849293563579278e-05,4.18,4.0
4135,25360.0,2023-12-04,50.96,98.11616954474098,9.811616954474098e-05,4.87,5.0
4136,25360.0,2023-12-07,50.96,98.11616954474098,9.811616954474098e-05,5.33,5.0
4137,25360.0,2023-12-14,50.96,117.73940345368916,0.00011773940345368916,6.5,6.0
4138,25360.0,2023-12-21,50.96,137.36263736263734,0.00013736263736263736,7.45,7.0
4139,25360.0,2024-01-16,50.96,255.10204081632654,0.0002551020408163265,13.0,13.0
4140,22894.0,2023-07-03,120.0,16.666666666666668,1.6666666666666667e-05,2.29,2.0
4141,22894.0,2023-07-03,176.0,11.363636363636363,1.1363636363636365e-05,2.29,2.0
4142,22894.0,2023-07-03,327.0,6.116207951070336,6.1162079510703365e-06,2.29,2.0
4143,22894.0,2023-07-03,546.0,3.663003663003663,3.663003663003663e-06,2.29,2.0
4144,15500.0,2022-06-29,98.51,50.756268399147295,5.0756268399147295e-05,4.76,5.0
4145,15500.0,2022-06-29,5.59,894.4543828264758,0.0008944543828264759,4.76,5.0
4146,27414.0,2024-01-25,775.74,3.867275117951891,3.867275117951891e-06,2.77,3.0
4147,27414.0,2024-01-31,775.74,3.867275117951891,3.867275117951891e-06,3.43,3.0
4148,27414.0,2024-01-25,678.43,4.4219742641097834,4.421974264109783e-06,2.77,3.0
4149,27414.0,2024-01-31,678.43,4.4219742641097834,4.421974264109783e-06,3.43,3.0
4150,27414.0,2024-01-25,288.55,10.396811644429041,1.0396811644429041e-05,2.77,3.0
4151,27414.0,2024-01-31,288.55,10.396811644429041,1.0396811644429041e-05,3.43,3.0
4152,15936.0,2022-06-02,210.0,19.04761904761905,1.904761904761905e-05,4.16,4.0
4153,15936.0,2022-07-28,210.0,85.71428571428571,8.571428571428571e-05,17.6,18.0
4154,5222.0,2020-08-31,1468.65,2.042692268409764,2.042692268409764e-06,3.1,3.0
4155,5222.0,2020-09-28,1468.65,8.851666496442311,8.85166649644231e-06,12.6,13.0
4156,5222.0,2020-08-31,94.67,31.689025034329777,3.168902503432978e-05,3.1,3.0
4157,5222.0,2020-09-28,94.67,137.3191084820957,0.00013731910848209568,12.6,13.0
4158,5222.0,2020-08-31,520.48,5.7639102367045805,5.76391023670458e-06,3.1,3.0
4159,5222.0,2020-09-28,520.48,24.97694435905318,2.497694435905318e-05,12.6,13.0
4160,5222.0,2020-08-31,1590.56,1.8861281561211147,1.8861281561211146e-06,3.1,3.0
4161,5222.0,2020-09-28,1590.56,8.173222009858163,8.173222009858163e-06,12.6,13.0
4162,5222.0,2020-08-31,50.21,59.74905397331209,5.974905397331209e-05,3.1,3.0
4163,5222.0,2020-09-28,50.21,258.91256721768576,0.0002589125672176857,12.6,13.0
4164,18877.0,2022-11-23,3317.5,0.904295403165034,9.042954031650339e-07,3.14,3.0
4165,18877.0,2022-11-30,3317.5,1.205727204220045,1.2057272042200451e-06,4.39,4.0
4166,18877.0,2022-12-13,3317.5,2.1100226073850794,2.110022607385079e-06,6.58,7.0
4167,18877.0,2022-12-19,3317.5,2.41145440844009,2.4114544084400903e-06,8.16,8.0
4168,18877.0,2022-12-25,3317.5,2.712886209495102,2.7128862094951015e-06,9.24,9.0
4169,18877.0,2022-11-23,24.0,125.0,0.000125,3.14,3.0
4170,18877.0,2022-11-30,24.0,166.66666666666666,0.00016666666666666666,4.39,4.0
4171,18877.0,2022-12-13,24.0,291.6666666666667,0.0002916666666666667,6.58,7.0
4172,18877.0,2022-12-19,24.0,333.3333333333333,0.0003333333333333333,8.16,8.0
4173,18877.0,2022-12-25,24.0,375.0,0.00037499999999999995,9.24,9.0
4174,18877.0,2022-11-23,59.0,50.84745762711865,5.0847457627118643e-05,3.14,3.0
4175,18877.0,2022-11-30,59.0,67.79661016949153,6.779661016949152e-05,4.39,4.0
4176,18877.0,2022-12-13,59.0,118.64406779661017,0.00011864406779661017,6.58,7.0
4177,18877.0,2022-12-19,59.0,135.59322033898306,0.00013559322033898305,8.16,8.0
4178,18877.0,2022-12-25,59.0,152.54237288135593,0.00015254237288135592,9.24,9.0
4179,21831.0,2023-06-06,203.0,54.187192118226605,5.4187192118226595e-05,11.13,11.0
